from,to,type,entityName,defaultValue
fromPqsCatalog,fromPqsCatalog,USE_DEFAULT,,true
equipmentCode,equipmentCode,DIRECT,,
type,type,DIRECT,,
manufacturer,manufacturer,DIRECT,,
model,model,DIRECT,,
energySource,energySource,USE_DEFAULT,,ELECTRIC
storageTemperature,storageTemperature,USE_DEFAULT,,ZERO
archived,archived,USE_DEFAULT,,false
